EmployeeID,avg_hours,std_hours,work_days,overtime_days,late_arrivals,early_departures
1,7.373650622605365,0.28322436713023424,232,0,223,34
2,7.718968926553672,0.31335090741272625,236,0,225,8
3,7.013240358126722,0.3115511391897782,242,0,236,116
4,7.193678486997635,0.28413283284487745,235,0,222,76
5,8.006174603174603,0.3006564200435072,245,0,239,1
6,10.796095874355368,0.3062780195272167,237,237,228,0
7,6.923570402298851,0.3246115897328066,232,0,220,136
8,6.725620713305898,0.27854805942660005,243,0,235,185
9,7.236498792270532,0.3106995251062113,230,0,222,55
10,7.080087844254511,0.2904905463580699,234,0,227,107
11,8.403485477178425,0.3083233939116,241,6,228,0
12,7.06895458736745,0.30973383319804865,241,0,230,102
13,9.301409509946627,0.28886323837076794,229,191,225,0
14,9.399931442080378,0.29226652785680385,235,217,226,0
15,6.08968764407561,0.2897538656914085,241,0,234,240
16,6.705174636661979,0.31725964327391604,237,0,228,184
17,6.619040626529614,0.31396253642597743,227,0,224,179
18,11.014328139114726,0.3096964342975207,246,246,240,0
19,6.960253831417625,0.314945915821745,232,0,218,124
20,9.293555796055795,0.2963884015180485,231,189,223,0
21,7.590778256704982,0.317876322859857,232,0,220,17
22,6.008613495469718,0.29300926732118104,233,0,225,231
23,8.402108477011494,0.30298867053530126,232,4,225,0
24,6.8070052800734615,0.3155869205724915,242,0,230,156
25,7.093167388167388,0.3219874360961485,231,0,217,96
26,9.362002074688798,0.2812382254202834,241,222,234,0
27,10.977123430962344,0.2966332412542106,239,239,229,0
28,7.604444444444445,0.29583577896635027,236,0,222,22
29,10.97758573388203,0.311821460995057,243,243,237,0
30,6.8312753623188405,0.2816235668075111,230,0,218,153
31,10.109408263305323,0.3076482089710232,238,238,226,0
32,6.709665977961433,0.2999596428160105,242,0,229,186
33,10.518214624881292,0.29884449644944855,234,234,219,0
34,6.182887517146776,0.27760267901505425,243,0,232,242
35,6.586388888888888,0.2984167125865237,240,0,236,200
36,10.272241379310346,0.3035182369118388,232,232,220,0
37,9.982733011937558,0.2858516734525315,242,242,232,0
38,5.979567632850242,0.2972133732676858,230,0,220,230
39,6.775967939304944,0.2921177931173167,227,0,218,162
40,7.690160390516039,0.3056256998247581,239,0,230,9
41,7.204732468123862,0.2845449299508924,244,0,233,65
42,7.594769503546099,0.30514299567200004,235,0,229,13
43,6.95264233241506,0.3178550153173413,242,0,233,141
44,7.008878472222222,0.3149531071288215,240,0,228,123
45,7.201573315118397,0.29589456457123897,244,0,235,82
46,7.1728749999999994,0.30817033367282526,240,0,234,80
47,7.636801418439717,0.3116720861036219,235,0,223,24
48,7.83278129395218,0.2961809089177023,237,0,225,8
49,6.974765051395007,0.3119167284795888,227,0,219,119
50,6.906424220272905,0.28961518777707396,228,0,218,147
51,10.895463728191,0.30420544569324187,242,242,233,0
52,9.125665729020158,0.30316557211889955,237,153,229,0
53,6.831459786145978,0.27906181250549916,239,0,223,165
54,7.3160499058380415,0.3104232425048926,236,0,225,53
55,8.610798041894354,0.311583892199974,244,25,236,0
56,6.784845288326301,0.2950064383650507,237,0,228,170
57,10.986099773242628,0.3159426398769554,245,245,236,0
58,7.68658467939305,0.3027352732521384,227,0,217,9
59,9.948856881572931,0.31319429085940464,243,243,236,0
